;なんとか逃げ出したが千遥はボロボロだった;nasi;nasi;nasi;nasi;nasi;rindou;;;
千遥;ごめん...私...;kaede_off;tiharu;sipses_off;yukino_off;yayoi_off;rindou;;;
弥生;仕方ないよ...飛び出してもおかしくないとこだったよ;kaede_off;tiharu_off;sipses_off;yukino_off;yayoi;rindou;;;
千遥;弥生ちゃん...;kaede_off;tiharu;sipses_off;yukino_off;yayoi_off;rindou;;;
雪乃;あの細菌達どうしよう...;kaede_off;tiharu_off;sipses_off;yukino;yayoi;rindou;;;
シプセス;薬物で細菌の動きを鈍らせるのです<br>隙ができたとこで一気に攻め込むのです;kaede_off;tiharu_off;sipses;yukino_off;yayoi_off;rindou;;;
楓;薬物？どこにあるん？;kaede;tiharu_off;sipses_off;yukino_off;yayoi_off;rindou;;;
シプセス;それは私が用意するのです<br>なので細菌が弱ったところで倒してくださいなのです<br>それでもまだ手強いかもしれませんが;kaede_off;tiharu_off;sipses;yukino_off;yayoi_off;rindou;;;
千遥;次はちゃんとみんなでいくから大丈夫;kaede_off;tiharu;sipses_off;yukino_off;yayoi_off;rindou;;;
雪乃;そうだよ！もう一人で行っちゃダメだよ？;kaede_off;tiharu_off;sipses_off;yukino;yayoi_off;rindou;;;
千遥;うん、ごめんねっ;kaede_off;tiharu;sipses_off;yukino_off;yayoi_off;rindou;;;
シプセス;それでは私が先に行くので<br>みなさんは後から追ってきてくださいなのです;kaede_off;tiharu_off;sipses;yukino_off;yayoi_off;rindou;;;
弥生;わかったわ;kaede_off;tiharu_off;sipses_off;yukino_off;yayoi;rindou;;;
千遥;じゃぁ次こそは助けよ！頑張るよ！;kaede_off;tiharu;sipses_off;yukino_off;yayoi_off;rindou;;;
シプセス;それでは、いくのです！;kaede_off;tiharu_off;sipses;yukino_off;yayoi_off;rindou;;;
